ID,商品名称,货号,分类,价格,库存,上架,精品,新品,热卖
1,Apple iPhone 6s Plus 16G 玫瑰金 移动联通电信4G手机,TP000000,摄影摄像,5.00,5,是,是,是,是
39,华为（HUAWEI） M2 10.0 平板电脑 WiFi 月光银,TP0000039,台式机,5.00,5,是,是,是,是
40,荣耀X2 标准版 双卡双待双通 移动/联通双4G 16GB ROM（月光银）,TP0000040,台式机,5.00,5,是,是,是,是
41,华为（HUAWEI） M2 8英寸平板电脑（1920×1200 IPS屏 海思麒麟930 16GB WiFi）香槟金,TP0000041,台式机,5.00,5,是,是,是,是
42,Teclast/台电 X80 Plus WIFI 32GB Win10平板电脑双系统8英寸,TP0000042,台式机,5.00,5,是,是,是,是
43,荣耀畅玩平板note 9.6英寸平板电脑 移动/联通双4G LTE版,TP0000043,台式机,5.00,5,是,是,是,是
44,荣耀平板 8.0英寸平板电脑（Wi-Fi版 四核1.2GHz处理器 1GB内存 8GB存储）,TP0000044,台式机,5.00,5,是,是,是,是
45,华为 HUAWEI C199S 麦芒3S 电信4G智能手机FDD-LTE /TD-LTE/CDMA2000/GSM（麦芒金）,TP0000045,对讲机,5.00,5,是,是,是,是
46,【北京移动老用户专享 话费六折】荣耀畅玩5X 双卡双待 移动版 智能手机（破晓银）,TP0000046,对讲机,5.00,5,是,是,是,是
47,【联通合约机 50元本地套餐】荣耀畅玩5X 双卡双待 增强全网通版 智能手机（落日金）,TP0000047,对讲机,5.00,5,是,是,是,是
48,荣耀7 双卡双待双通 移动4G版 16GB存储（冰河银）豪华套装一,TP0000048,对讲机,5.00,5,是,是,是,是
49,荣耀畅玩5X 双卡双待 移动版 智能手机（破晓银）,TP0000049,对讲机,5.00,5,是,是,是,是
50,华为 HUAWEI 畅享5S 全网通 2GB RAM+16GB ROM（金色）,TP0000050,对讲机,5.00,5,是,是,是,是
51,华为 HUAWEI Mate 8 4GB+64GB版 全网通（香槟金）,TP0000051,对讲机,5.00,5,是,是,是,是
52,荣耀路由Pro 大户型穿墙王1200Mbps智能AC有线无线双千兆旗舰路由器（白色）,TP0000052,网卡,5.00,5,是,是,是,是
53,华为 HUAWEI MediaQ M330 华为盒子 4K极清网络机顶盒（黑色）,TP0000053,复合机,5.00,5,是,是,是,是
54,荣耀盒子 标准版（4K，H.265，4核芯片1G内存+4G存储，300Mwifi，HDMI/SD卡/USB/AV/SPDIF/网口）,TP0000054,复合机,5.00,5,是,是,是,是
55,华为（HUAWEI）WS832 1200M 11AC双频智能无线路由器（白色）,TP0000055,网卡,5.00,5,是,是,是,是
56,创维（skyworth）55M5 55英寸4K超高清网络智能液晶电视机,TP0000056,冰箱,5.00,5,是,是,是,是
57,TCL D50A710 50英寸 40万小时视频 全高清 内置WiFi 八核安卓智能LED液晶电视,TP0000057,冰箱,5.00,5,是,是,是,是
58,海信彩电LED55EC290N 55英寸 全高清 智能 网络 LED液晶电视,TP0000058,冰箱,5.00,5,是,是,是,是
59,酷开(coocaa) K50 50英寸智能网络液晶平板电视 酷开系统WiFi,TP0000059,冰箱,5.00,5,是,是,是,是
60,创维(Skyworth) 50S9 50英寸 全高清 网络 WIFI 智能 LED液晶电视,TP0000060,冰箱,5.00,5,是,是,是,是
61,海信彩电LED55EC520UA 55英寸 14核 4K智能电视(黑色),TP0000061,冰箱,5.00,5,是,是,是,是
62,海信彩电LED55EC520UA 55英寸 14核 4K智能电视(黑色),TP0000062,冰箱,5.00,5,是,是,是,是
63,海力（Horion）55A1华数TV版55英寸 4K轻薄智能网络平板液晶电视,TP0000063,冰箱,5.00,5,是,是,是,是
64,whaley/微鲸 WTV43K1 43吋4K LED液晶平板电视 性能小钢炮,TP0000064,冰箱,5.00,5,是,是,是,是
65,长虹(CHANGHONG) 49A1U 49英寸双64位4K超清智能网络LED液晶电视,TP0000065,冰箱,5.00,5,是,是,是,是
66,迎馨家纺全棉斜纹印花双人四件套邂逅 AB版纯棉，亲肤透气,TP0000066,家具,5.00,5,是,是,是,是
67,迎馨家纺 全棉斜纹印花双人四件套 约定 桔色 1.5米床,TP0000067,家具,5.00,5,是,是,是,是
68,东联LED吸顶灯具客厅灯现代简约长方形卧室灯餐厅灯书房灯x109三档变光变色大号80w不带遥控,TP0000068,吊灯,5.00,5,是,是,是,是
69,VNC LED吸顶灯现代简约卧室灯客厅灯阳台厨卫灯餐厅灯饰灯具MB5001 12W,TP0000069,吊灯,5.00,5,是,是,是,是
70,布雷尔 皮床 双人床软体床真皮床 皮艺床软床1.8米软包双人床婚床,TP0000070,电脑桌,5.00,5,是,是,是,是
71,布雷尔 床 皮床 双人床 真皮床 软床 皮艺床 1.8米婚床,TP0000071,电脑桌,5.00,5,是,是,是,是
72,天堂3311E碰强力高密拒水碰击布一甩干三折晴雨伞深藏青,TP0000072,浴室用品,5.00,5,是,是,是,是
73,天堂339S格高密隐格聚酯纺三折晴雨伞 F藏青,TP0000073,浴室用品,5.00,5,是,是,是,是
74,乐享 景德镇陶瓷器56头骨瓷餐具套装 微波韩式碗具/盘碟送礼 空谷幽兰,TP0000074,茶具/咖啡具,5.00,5,是,是,是,是
75,乐享 陶瓷碗盘 56头景德镇高档骨瓷餐具套装 天鹅湖结婚送礼,TP0000075,茶具/咖啡具,5.00,5,是,是,是,是
76,韩文2015冬装新款女装红色双排扣配腰带毛呢大衣.,TP0000076,小西装,5.00,5,是,是,是,是
77,红衣主角2015冬装新款走秀款大气简约黄色羊毛呢大衣.,TP0000077,小西装,5.00,5,是,是,是,是
78,皇英格男式修身圆领针织衫WG050黑色 黑色 L,TP0000078,西服套装,5.00,5,是,是,是,是
79,恒源祥秋冬新款男士纯色全羊毛衫 中年圆领长袖毛衣 加厚针织衫潮08W18096,TP0000079,雪纺衫,5.00,5,是,是,是,是
80,法娇兰一片式无钢圈聚拢文胸 冬季无痕光面内衣女透气调整型胸罩,TP0000080,内衣配件,5.00,5,是,是,是,是
81,纤慕文胸 女无钢圈聚拢一片式无痕拉丝美背内衣,TP0000081,内衣配件,5.00,5,是,是,是,是
82,舒肤佳纯白清香型沐浴露720ml,TP0000082,润肤,5.00,5,是,是,是,是
83,力士精油香氛幽莲魅肤沐浴乳1000ml（新老包装随机发货）,TP0000083,润肤,5.00,5,是,是,是,是
84,YAHAN雅寒2016新款高端气质毛呢大衣外套女中长款修身显瘦欧美OL羊绒大衣多色厂家直营,TP0000084,小西装,5.00,5,是,是,是,是
85,VIVIWILL 2015冬季新款长袖翻领加厚毛呢大衣韩版羊毛长款外套 女,TP0000085,小西装,5.00,5,是,是,是,是
86,艾霏娅 2015秋季新款女装 欧美时尚气质大码A字型宽松毛呢大衣外套 女,TP0000086,小西装,5.00,5,是,是,是,是
87,沐乃衣T2390-2015冬新款女装韩版中长款西装领茧形毛呢大衣外套 1223,TP0000087,小西装,5.00,5,是,是,是,是
88,香奈儿 /CHANEL 粉色邂逅柔情女士持久淡香水 35ML 法国进口,TP0000088,底妆,5.00,5,是,是,是,是
89,Versace范思哲 晶钻 女用香水 30ml,TP0000089,底妆,5.00,5,是,是,是,是
90,迪奥迪奥小 姐花漾淡香氛5ml,TP0000090,底妆,5.00,5,是,是,是,是
91,香奈儿邂逅清新淡香水 100ml,TP0000091,底妆,5.00,5,是,是,是,是
92,泊泉雅男士女士香水50ml 淡香清新持久留香 淡雅香氛诱惑 正品,TP0000092,底妆,5.00,5,是,是,是,是
93,CHANEL香奈儿 绿色邂逅 清新气息机会女士香水 EDT 35ML 进口,TP0000093,底妆,5.00,5,是,是,是,是
94,凯卓纯净之水男用香水 30ml,TP0000094,底妆,5.00,5,是,是,是,是
95,CHANEL香奈儿 粉色邂逅柔情女士淡香水 EDT 50ML,TP0000095,底妆,5.00,5,是,是,是,是
96,竹萃集自由中性香水 薰衣草琥珀檀香橙花味持久淡香正品男女通用,TP0000096,底妆,5.00,5,是,是,是,是
97,六福珠宝足金心形DIY刻字片吊坠黄金项链手链挂饰计价GMGTBP0056,TP0000097,金银投资,5.00,5,是,是,是,是
98,六福珠宝足金DIY刻字片挂饰黄金项链吊坠手链挂饰计价GMGTBP0057,TP0000098,金银投资,5.00,5,是,是,是,是
99,CNUTI粤通国际珠宝 黄金首饰 足金花生吊坠 男女同款 宝宝礼物 约1.25克左右,TP0000099,金银投资,5.00,5,是,是,是,是
100,金地珠宝足金花之恋金花3D硬金吊坠优雅大方时尚百搭唯美花朵黄金吊坠项坠,TP0000100,金银投资,5.00,5,是,是,是,是
101,六福珠宝足金百搭满天星链黄金项链女2015新款(计价)B01TBGN0009,TP0000101,金银投资,5.00,5,是,是,是,是
102,Hundred Generation 佰黛 天然南非钻石情侣对戒 公主戒指 情侣钻戒镀铂金戒指 婚戒款式定做,TP0000102,天然木饰,5.00,5,是,是,是,是
103,珂兰钻石 18K金90分效果群镶钻石戒指 倾城 需定制,TP0000103,天然木饰,5.00,5,是,是,是,是
104,小米手机5,十余项黑科技，很轻狠快,TP0000104,对讲机,5.00,5,是,是,是,是
105,原封国行【优惠套餐】Apple/苹果 iPhone 6s 4.7英寸 4G手机,TP0000105,对讲机,5.00,5,是,是,是,是
106,Haier/海尔 BCD-572WDPM 572升 对开门电冰箱 风冷无霜 大容量,TP0000106,空调,5.00,5,是,是,是,是
107,Littleswan/小天鹅 TG70-VT1263ED 7kg/公斤变频滚筒全自动洗衣机,TP0000107,热水器,5.00,5,是,是,是,是
108,Haier/海尔 EG8012B29WI 8公斤大容量全自动变频静音滚筒洗衣机,TP0000108,热水器,5.00,5,是,是,是,是
109,Midea/美的 BCD-535WKZM(E)对开门电冰箱双开门冰箱智能风冷无霜,TP0000109,空调,5.00,5,是,是,是,是
110,Ronshen/容声 BCD-228D11SY 3/三门式电冰箱/三开门家用电脑温控,TP0000110,空调,5.00,5,是,是,是,是
111,Haier/海尔 BCD-160TMPQ 160升家用节能两门电冰箱双门 冷藏冷冻,TP0000111,空调,5.00,5,是,是,是,是
112,Haier/海尔 BCD-648WDBE 648升大容量节能对开门电冰箱 冷藏冷冻,TP0000112,空调,5.00,5,是,是,是,是
113,SIEMENS/西门子 KA92NV09TI双开门家用对开门电冰箱变频旗舰款,TP0000113,空调,5.00,5,是,是,是,是
114,MeiLing/美菱 BCD-221UE3CX 阿里云智能 三门节能家用电控冰箱,TP0000114,空调,5.00,5,是,是,是,是
115,爸爸2陆毅代言索扬20000毫安充电宝轻薄正品手机通用移动电源MAh,TP0000115,数据线,耳机,5.00,5,是,是,是,是
116,ROMOSS/罗马仕 sense6 20000M毫安充电宝 正品手机通用移动电源,TP0000116,数据线,耳机,5.00,5,是,是,是,是
117,小派M-20000超薄充电宝适用MIUI蘋果6s手机通用毫安移动电源便携,TP0000117,数据线,耳机,5.00,5,是,是,是,是
118,ROMOSS/罗马仕 sense4 正品10000+毫安移动电源 手机通用充电宝,TP0000118,数据线,耳机,5.00,5,是,是,是,是
119,小米旗舰店正品手机平板通用迷你充电宝 移动电源10000毫安大容量,TP0000119,数据线,耳机,5.00,5,是,是,是,是
120,小米旗舰店正品手机平板通用移动电源16000毫安大容量品牌充电宝,TP0000120,数据线,耳机,5.00,5,是,是,是,是
121,科智50000通用充电宝20000毫安冲手机蘋果6s超薄可爱便携移动电源,TP0000121,数据线,耳机,5.00,5,是,是,是,是
122,黛尔尼曼20000M蘋果6s手机通用超薄移动电源冲充电宝MIUI便携毫安,TP0000122,数据线,耳机,5.00,5,是,是,是,是
123,Canon/佳能 EOS 750D单反套机（18-55mm）高清数码相机苏宁易购,TP0000123,单反相机,5.00,5,是,是,是,是
124,Nikon/尼康D3300入门单反相机 升级版AF-P 18-55镜头套机 分期购,TP0000124,单反相机,5.00,5,是,是,是,是
125,【0首付分期】蚂蚁摄影联保单反数码相机Canon/佳能 EOS 760D套机,TP0000125,单反相机,5.00,5,是,是,是,是
126,Canon/佳能 EOS 700D套机（18-55mm)数码单反相机 苏宁易购,TP0000126,单反相机,5.00,5,是,是,是,是
127,Canon/佳能 EOS 70D套机(18-135mm)数码相机单反套机 苏宁易购,TP0000127,单反相机,5.00,5,是,是,是,是
129,【蚂蚁摄影】Canon/佳能 PowerShot SX410 IS 媲单反长焦数码相机,TP0000129,单反相机,5.00,5,是,是,是,是
130,Nikon/尼康 D7200套机(18-140mm) 尼康D7200 单反相机 正品,TP0000130,单反相机,5.00,5,是,是,是,是
131,【蚂蚁摄影】单反外观Sony/索尼 DSC-H400高清长焦射月数码照相机,TP0000131,单反相机,5.00,5,是,是,是,是
132,中国电信4G号卡手机卡电话卡上网卡177号段套餐可选 预存1200全返,TP0000132,办套餐,5.00,5,是,是,是,是
133,电信手机卡 电信4G流量卡全国通用手机号码卡选号电话卡上网卡,TP0000133,办套餐,5.00,5,是,是,是,是
135,重庆电信手机卡电话卡语音卡选靓号3G4G卡内部5折卡低资费（飞）,TP0000135,办套餐,5.00,5,是,是,是,是
136,靓号0元送广东联通4G/3G手机卡上网卡大流量套餐全国无漫游选号,TP0000136,办套餐,5.00,5,是,是,是,是
137,中麦通信4G联通网络手机靓号 170手机卡电话卡靓号卡可选号包邮,TP0000137,办套餐,5.00,5,是,是,是,是
138,广州电信卡|4G定制卡|含50话费|手机卡号码卡|上网卡流量卡靓号,TP0000138,办套餐,5.00,5,是,是,是,是
140,Apple iPhone 6s 16GB 玫瑰金色 移动联通电信4G手机,TP0000140,对讲机,5.00,5,是,是,是,是
141,三星 Galaxy A9高配版 (A9100) 精灵黑 全网通4G手机 双卡双待,TP0000141,对讲机,5.00,5,是,是,是,否
142,海尔（Haier）BCD-251WDGW 251升 无霜两门冰箱（白色）,TP0000142,厨房电器,2.00,2,是,是,是,是
143,haier海尔 BC-93TMPF 93升单门冰箱,TP0000143,厨房电器,2.00,2,是,是,是,是
